team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Iceland National Team,Iceland,2016,Iceland,5,2,3,0,2,1,1,2,1,1,1,0,1,1.6,2,1.33,2,0,0,8,8,9,-1,17,5,12,3,5,2,7,1,-2,56,60,54,50,90,39,0,0,0,5,2,3,0,0,0,2,2,0,14,6,8,12,7,5,34,32,36,37,13,24,19,5,14,18,8,10,61,21,40,4,2,2,6,0,6,-2,2,-4,3,2,1,0,0,0,2,0,2,1.8,3,1,3.4,2.5,4,1.6,1.5,1.67,1.8,1,2.33,2,1,2.67,0.8,1,0.67,1.2,0,2,5,5,3,1,1,1,2,2,1,0,0,0,3,3,2,1,1,1,0,0,2,4,4,4,0,0,1,2,2,2,0,0,1,2,2,2,100,100,60,20,20,20,100,100,50,0,0,0,100,100,67,33,33,33,0,0,40,80,80,80,0,0,50,100,100,100,0,0,33,67,67,67,5,2,2,2,0,0,3,2,2,100,40,40,100,0,0,100,67,67,40,50,33,19,0,0,0,100,100,100,0,0,0,40,100,0,2,2,0,40,100,0,2,0,2,40,0,67,1,0,1,20,0,33,60,100,33,0,0,0,40,0,67,2.80,3.00,2.67,2.4,3.5,1.67,100,100,60,40,20,20,20,0,0.00,0.00,0.00,0.00,0.00,0.00,80,1,2,0,1,1,1,0,0,2,1,2,0,1,2,2,0,0,1,40,50,33,20,0,33,0
Czech Republic National Team,Czech Republic,2016,Czech Republic,3,2,1,0,0,0,0,1,1,0,2,1,1,0.33,0.5,0,4,0,0,19,2,5,-3,7,6,1,2,0,4,1,-2,-1,134,90,0,54,45,90,0,0,0,1,1,0,2,1,1,0,0,0,13,10,3,5,4,1,44,52,29,26,19,7,16,11,5,10,8,2,41,30,11,0,0,0,2,2,0,-2,-2,0,0,0,0,1,0,1,2,2,0,0.33,0,1,2.33,3,1,0.67,1,0,1.67,2,1,0.67,1,0,0,0,0,0.67,1,0,3,2,1,1,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,1,2,2,3,3,0,0,1,1,2,2,0,1,1,1,1,1,100,67,33,33,0,0,100,100,50,50,0,0,100,0,0,0,0,0,0,33,67,67,100,100,0,0,50,50,100,100,0,100,100,100,100,100,2,0,0,2,0,0,0,0,0,67,0,0,100,0,0,0,0,0,0,0,0,15,0,0,0,33,50,0,67,50,100,0,0,0,1,0,1,33,0,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,33,0,100,67,100,0,4.33,5.00,3.00,1.67,2,1.00,100,100,100,100,100,67,67,33,0.00,0.00,0.00,0.00,0.00,0.00,33,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,33,50,0,67,50,100,33
Switzerland National Team,Switzerland,2016,Switzerland,4,2,2,0,1,0,1,3,2,1,0,0,0,1.5,1,2,2,0,0,10,3,2,1,5,2,3,1,2,1,1,0,1,120,180,90,180,180,180,2,1,1,2,1,1,1,1,0,1,0,1,29,18,11,6,2,4,56,53,58,52,25,27,26,12,14,26,13,13,50,24,26,1,0,1,2,1,1,-1,-1,0,1,0,1,1,1,0,2,1,1,1,0.5,1.5,1.25,1,1.5,0.75,0.5,1,0.5,0.5,0.5,0.75,0.5,1,0.25,0,0.5,0.5,0.5,0.5,3,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,2,4,4,4,4,1,1,2,2,2,2,0,1,2,2,2,2,75,50,0,0,0,0,50,50,0,0,0,0,100,50,0,0,0,0,25,50,100,100,100,100,50,50,100,100,100,100,0,50,100,100,100,100,3,0,0,1,0,0,2,0,0,75,0,0,50,0,0,100,0,0,25,0,50,0,50,50,50,50,50,50,25,50,0,25,0,50,2,1,1,50,50,50,3,2,1,75,100,50,0,0,0,0,0,0,25,0,50,25,50,0,50,50,50,7.25,9.00,5.50,1.5,1,2.00,100,100,100,75,75,50,50,50,0.00,0.00,0.00,0.00,0.00,0.00,25,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,75,100,50,0,0,0,50
Austria National Team,Austria,2016,Austria,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,22,1,4,-3,5,2,3,0,1,2,2,-2,-1,273,0,180,68,45,90,1,0,1,1,0,1,2,1,1,0,0,0,11,4,7,7,2,5,53,54,53,33,10,23,14,4,10,19,6,13,31,10,21,0,0,0,1,0,1,-1,0,-1,0,0,0,2,1,1,1,0,1,0.67,1,0.5,1.67,2,1.5,0.33,0,0.5,1.33,2,1,0.33,0,0.5,0,0,0,0.33,0,0.5,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,2,3,3,3,0,0,1,1,1,1,1,1,1,2,2,2,67,67,33,0,0,0,100,100,0,0,0,0,50,50,50,0,0,0,33,33,67,100,100,100,0,0,100,100,100,100,50,50,50,100,100,100,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,50,0,0,0,0,0,-75,33,0,50,33,0,50,67,100,50,0,0,0,2,1,1,67,100,50,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,67,100,50,33,0,50,3.67,4.00,3.50,2.33,2,2.50,100,100,67,67,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,33,0,50,67,100,50,0
Spain National Team,Spain,2016,Spain,4,2,2,0,2,2,0,0,0,0,2,0,2,1.5,3,0,2,0,0,11,5,4,1,9,4,5,4,1,0,4,4,-3,72,45,180,90,0,45,2,2,0,1,0,1,1,0,1,3,2,1,37,21,16,5,1,4,64,65,64,55,30,25,24,13,11,31,17,14,48,24,24,3,2,1,2,0,2,1,2,-1,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2.25,2,2.5,1.25,2,0.5,1,0,2,1.25,1,1.5,0.75,1,0.5,0.5,0,1,4,3,2,0,0,0,2,1,1,0,0,0,2,2,1,0,0,0,0,1,2,4,4,4,0,1,1,2,2,2,0,0,1,2,2,2,100,75,50,0,0,0,100,50,50,0,0,0,100,100,50,0,0,0,0,25,50,100,100,100,0,50,50,100,100,100,0,0,50,100,100,100,3,2,0,1,1,0,2,1,0,75,50,0,50,50,0,100,50,0,50,100,0,80,50,100,0,25,0,50,25,0,50,75,100,50,2,2,0,50,100,0,2,1,1,50,50,50,1,0,1,25,0,50,25,50,0,50,50,50,25,0,50,9.25,10.50,8.00,1.25,0.5,2.00,100,100,100,100,50,50,50,50,0.00,0.00,0.00,0.00,0.00,0.00,50,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,50,0,100,25
Portugal National Team,Portugal,2016,Portugal,7,4,3,0,3,2,1,4,2,2,0,0,0,1.86,2,1.67,3,0,0,2,9,5,4,14,5,9,4,5,1,4,3,1,70,90,54,127,360,68,4,3,1,3,1,2,1,1,0,4,3,1,50,32,18,13,10,3,48,55,38,96,65,31,39,29,10,57,36,21,87,43,44,3,1,2,2,0,2,1,1,0,1,1,0,6,3,3,0,0,0,1.29,1.5,1,2,1.25,3,1.29,1,1.67,0.71,0.25,1.33,0.71,0.25,1.33,0.43,0.25,0.67,0.29,0,0.67,6,4,1,1,1,1,3,2,0,0,0,0,3,2,1,1,1,1,1,3,6,6,6,6,1,2,4,4,4,4,0,1,2,2,2,2,86,57,14,14,14,14,75,50,0,0,0,0,100,67,33,33,33,33,14,43,86,86,86,86,25,50,100,100,100,100,0,33,67,67,67,67,3,2,0,1,0,0,2,2,0,43,29,0,25,0,0,67,67,0,43,50,33,22,57,75,33,43,25,67,14,25,0,57,75,33,5,4,1,71,100,33,4,3,1,57,75,33,2,0,2,29,0,67,14,25,0,86,75,100,0,0,0,7.14,8.00,6.00,1.86,2.5,1.00,100,100,71,56,43,43,28,14,0.00,0.00,0.00,0.00,0.00,0.00,57,0,0,0,2,3,1,1,0,0,1,1,0,0,2,1,0,0,0,57,50,67,0,0,0,0
Romania National Team,Romania,2016,Romania,3,2,1,0,0,0,0,1,1,0,2,1,1,0.33,0.5,0,4,0,0,21,2,4,-2,6,3,3,1,1,2,2,-1,-1,134,180,90,68,90,45,0,0,0,2,1,1,1,1,0,1,1,0,10,6,4,10,7,3,49,49,48,27,20,7,11,9,2,16,11,5,49,36,13,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1.33,1.5,1,2,1.5,3,0.67,0.5,1,1.33,1,2,0.67,1,0,0.33,0.5,0,0.33,0.5,0,3,2,1,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,1,2,3,3,3,0,1,2,2,2,2,0,0,0,1,1,1,100,67,33,0,0,0,100,50,0,0,0,0,100,100,100,0,0,0,0,33,67,100,100,100,0,50,100,100,100,100,0,0,0,100,100,100,2,0,0,2,0,0,0,0,0,67,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,67,50,100,33,50,0,33,50,0,2,1,1,67,50,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,33,0,100,33,50,0,3.33,3.00,4.00,3.33,3.5,3.00,100,100,67,33,33,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,33,50,0,67,50,100,0
Northern Ireland National Team,Northern Ireland,2016,Northern Ireland,4,1,3,0,1,0,1,0,0,0,3,1,2,0.75,0,1,3,0,0,17,2,3,-1,5,1,4,0,2,1,2,-1,0,180,0,134,120,90,134,1,0,1,0,0,0,3,1,2,1,0,1,13,3,10,6,0,6,36,30,38,20,3,17,11,2,9,9,1,8,54,9,45,0,0,0,1,1,0,-1,-1,0,0,0,0,3,0,3,1,1,0,0.75,0,1,1.25,1,1.33,0.5,0,0.67,0.75,1,0.67,0.25,1,0,0,0,0,0.25,1,0,4,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,3,4,4,4,4,0,1,1,1,1,1,0,2,3,3,3,3,100,25,0,0,0,0,100,0,0,0,0,0,100,33,0,0,0,0,0,75,100,100,100,100,0,100,100,100,100,100,0,67,100,100,100,100,1,0,0,1,0,0,0,0,0,25,0,0,100,0,0,0,0,0,25,0,33,-67,25,0,33,0,0,0,75,100,67,25,0,33,3,0,3,75,0,100,4,1,3,100,100,100,0,0,0,0,0,0,0,0,0,75,0,100,25,100,0,3.25,3.00,3.33,1.5,0,2.00,50,50,50,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,75,100,67,0
Sweden National Team,Sweden,2016,Sweden,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,20,1,3,-2,4,1,3,0,1,1,2,-1,-1,273,0,180,90,90,90,0,0,0,1,0,1,2,1,1,0,0,0,13,4,9,4,2,2,19,0,29,22,11,11,9,5,4,13,6,7,36,9,27,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,1,1,1.33,1,1.5,0.33,0,0.5,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,3,3,3,3,0,1,1,1,1,1,0,1,2,2,2,2,100,33,0,0,0,0,100,0,0,0,0,0,100,50,0,0,0,0,0,67,100,100,100,100,0,100,100,100,100,100,0,50,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,50,67,100,50,0,0,0,3,1,2,100,100,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.33,4.00,4.50,1.33,2,1.00,100,100,100,100,67,33,33,33,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,33,0,50,67,100,50,33
Ukraine National Team,Ukraine,2016,Ukraine,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,24,0,5,-5,5,3,2,0,0,3,2,-3,-2,0,0,0,54,60,45,0,0,0,0,0,0,3,2,1,0,0,0,17,5,12,5,4,1,55,67,32,33,27,6,16,12,4,17,15,2,44,35,9,0,0,0,1,0,1,-1,0,-1,0,0,0,2,2,0,1,0,1,0.67,1,0,1.67,1.5,2,0,0,0,1.67,1.5,2,0.33,0,1,0,0,0,0.33,0,1,3,2,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,3,3,3,3,0,1,2,2,2,2,0,0,1,1,1,1,100,67,0,0,0,0,100,50,0,0,0,0,100,100,0,0,0,0,0,33,100,100,100,100,0,50,100,100,100,100,0,0,100,100,100,100,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,100,0,0,0,0,0,5,0,0,0,0,0,0,100,100,100,0,0,0,2,2,0,67,100,0,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,67,100,0,33,0,100,5.67,2.50,12.00,1.67,2,1.00,33,33,33,33,33,33,33,33,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,100,100,100,33
