full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Anthony Connolly,21,949017600,2000/01/28,UEFA Nations League,2020/2021,Forward,Republic of Ireland,257,77,180,Republic of Ireland,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1.05,86,86,257,0,0.35,-1,-1,-1,23
Aaron McEneff,26,805248000,1995/07/09,UEFA Nations League,2020/2021,Midfielder,Republic of Ireland,0,0,0,Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aaron Ramsey,30,662169600,1990/12/26,UEFA Nations League,2020/2021,Midfielder,Wales,90,0,90,Wales,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,12
Aaron Sanchez Alburquerque,25,833932800,1996/06/05,UEFA Nations League,2020/2021,Midfielder,Andorra,152,97,55,Andorra,5,2,3,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,30,152,0,0.59,-1,-1,-1,15
Abat Aymbetov,26,807753600,1995/08/07,UEFA Nations League,2020/2021,Forward,Kazakhstan,358,211,147,Kazakhstan,6,3,3,2,2,0,1,0,1,0,0,2,1,1,6,2,4,0,0,0.75,0.25,0.5,0.85,0,179,1.51,60,60,0,358,0,34,59,-1,1
Abbas Hüseynov,26,803001600,1995/06/13,UEFA Nations League,2020/2021,Defender,Azerbaijan,313,133,180,Azerbaijan,4,2,2,0,0,0,0,0,0,0,0,3,2,1,2,0,2,1,0,0,0,0,0,0,0,0.58,157,78,313,0,0.29,219,239,44,16
Abdülkadir Ömür,22,930268800,1999/06/25,UEFA Nations League,2020/2021,Midfielder,Turkey,13,4,9,Turkey,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,10
Abzal Beysebekov,29,723081600,1992/11/30,UEFA Nations League,2020/2021,Defender,Kazakhstan,236,134,102,Kazakhstan,4,2,2,0,0,0,0,0,0,0,0,1,1,0,5,2,3,1,0,0,0,0,0,0,0,1.91,47,59,236,0,0.38,-1,-1,-1,16
Adam Davies,29,711331200,1992/07/17,UEFA Nations League,2020/2021,Goalkeeper,Wales,11,0,11,Wales,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,8
Adam Gnezda Čerin,22,932083200,1999/07/16,UEFA Nations League,2020/2021,Midfielder,Slovenia,0,0,0,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ádám Gyurcsó,30,668217600,1991/03/06,UEFA Nations League,2020/2021,Midfielder,Hungary,38,38,0,Hungary,2,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,2.37,2.37,0,0,0,0,0,0,19,38,38,2.37,-1,-1,-1,25
Adam Hložek,19,1027555200,2002/07/25,UEFA Nations League,2020/2021,Forward,Czech Republic,72,0,72,Czech Republic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,-1,-1,-1,31
Adam Jakubech,24,852163200,1997/01/02,UEFA Nations League,2020/2021,Goalkeeper,Slovakia,0,0,0,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adam Jánoš,29,711590400,1992/07/20,UEFA Nations League,2020/2021,Midfielder,Czech Republic,90,90,0,Czech Republic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,45,90,90,0,1,-1,-1,-1,24
Adam Karabec,18,1057104000,2003/07/02,UEFA Nations League,2020/2021,Midfielder,Czech Republic,0,0,0,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
