timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1623438000,Jun 11 2021 - 7:00pm,complete,N/A,Turkey,Italy,Danny Makkelie,1,0.00,0.00,0.00,2.43,0,3,3,0,0,0,"","53,66,79",2,8,2,0,0,0,0,2,0,0,4,25,0,9,4,16,10,8,37,63,0.40,2.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.84,3.80,1.54,1.38,2.19,4.15,8.75,2.40,1.50,Stadio Olimpico (Roma)
1623502800,Jun 12 2021 - 1:00pm,complete,8782,Wales,Switzerland,Clément Turpin,1,0.00,0.00,1.00,1.20,1,1,2,0,0,0,"74","49",4,12,1,0,2,0,0,1,1,1,10,19,3,5,7,14,6,9,36,64,1.21,2.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.50,3.10,2.10,1.65,2.75,5.25,11.00,2.40,1.51,Bakı Olimpiya Stadionu (Baku)
1623513600,Jun 12 2021 - 4:00pm,complete,15200,Denmark,Finland,Anthony Taylor,1,0.00,0.00,1.50,1.00,0,1,1,0,0,0,"","60",9,0,0,0,2,0,0,0,1,1,23,2,7,2,16,0,9,11,70,30,2.72,0.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.32,5.50,13.00,1.38,2.10,3.70,7.50,2.60,1.43,Parken (København)
1623524400,Jun 12 2021 - 7:00pm,complete,26264,Belgium,Russia,Antonio Miguel Mateu Lahoz,1,0.00,0.00,2.40,1.00,3,0,3,2,2,0,"10,34,88","",2,4,0,0,0,0,0,0,0,0,10,6,5,2,5,4,9,11,66,34,1.37,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.65,4.85,1.33,1.99,3.35,6.50,1.80,1.91,Saint-Petersburg Stadium (Sankt-Peterburg (St. Petersburg))
1623589200,Jun 13 2021 - 1:00pm,complete,18497,England,Croatia,Daniele Orsato,1,0.00,0.00,2.43,1.00,1,0,1,0,0,0,"57","",1,1,1,0,3,0,0,1,1,2,9,9,3,3,6,6,9,10,50,50,1.04,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.54,4.20,7.00,1.38,2.05,3.45,6.75,2.10,1.67,Wembley Stadium (London)
1623600000,Jun 13 2021 - 4:00pm,complete,9082,Austria,FYR Macedonia,Andreas Ekberg,1,0.00,0.00,1.50,0.00,3,1,4,2,1,1,"18,78,89","28",4,0,1,0,2,0,0,1,1,1,11,8,7,3,4,5,13,15,63,37,1.65,0.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.50,5.50,1.48,2.35,4.15,8.25,2.15,1.65,Arena Naţională (Bucureşti)
1623610800,Jun 13 2021 - 7:00pm,complete,N/A,Netherlands,Ukraine,Felix Brych,1,0.00,0.00,2.25,1.20,3,2,5,0,0,0,"52,58,85","75,79",5,1,0,0,1,0,0,0,0,1,16,8,8,6,8,2,8,8,61,39,2.17,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.70,6.50,1.35,1.95,2.90,5.50,1.83,1.87,Johan Cruijff Arena (Amsterdam)
1623675600,Jun 14 2021 - 1:00pm,complete,9847,Scotland,Czech Republic,Daniel Siebert,1,0.00,0.00,0.33,1.40,0,2,2,1,0,1,"","42,52",6,6,0,0,0,0,0,0,0,0,20,11,5,8,15,3,6,6,58,42,2.04,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,2.90,2.96,1.48,2.43,2.05,3.35,2.00,1.67,Hampden Park (Glasgow)
1623686400,Jun 14 2021 - 4:00pm,complete,12862,Poland,Slovakia,Ovidiu Hațegan,1,0.00,0.00,0.33,1.00,1,2,3,1,0,1,"46","18,69",5,2,1,1,1,0,1,1,1,0,18,12,4,3,14,9,15,13,57,43,2.01,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.30,5.50,1.49,2.40,4.30,8.75,2.15,1.65,Saint-Petersburg Stadium (Sankt-Peterburg (St. Petersburg))
1623697200,Jun 14 2021 - 7:00pm,complete,N/A,Spain,Sweden,Slavko Vinčić,1,0.00,0.00,1.67,1.75,0,0,0,0,0,0,"","",6,1,0,0,1,0,0,0,0,1,18,5,6,2,12,3,7,11,85,15,2.39,0.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,4.75,9.00,1.30,1.79,3.10,5.75,2.05,1.69,Estadio Olímpico de Sevilla (Sevilla)
1623772800,Jun 15 2021 - 4:00pm,complete,55662,Hungary,Portugal,Cüneyt Çakιr,1,0.00,0.00,0.67,1.00,0,3,3,0,0,0,"","84,87,90'2",0,6,2,0,1,0,0,2,1,0,6,12,4,8,2,4,10,15,30,70,0.80,1.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.50,4.55,1.44,1.34,1.95,3.30,6.50,2.15,1.62,Puskás Aréna (Budapest)
