team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2020,Finland,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,3,0,0,17,1,3,-2,4,3,1,0,1,3,0,-3,1,273,0,90,90,60,0,1,0,1,0,0,0,2,2,0,1,0,1,1,1,0,4,2,2,37,41,30,22,20,2,6,4,2,16,16,0,29,18,11,0,0,0,1,1,0,-1,-1,0,0,0,0,2,1,1,1,1,0,0.67,0.5,1,1.33,1.5,1,0.33,0,1,1,1.5,0,0.33,0.5,0,0,0,0,0.33,0.5,0,3,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,3,3,3,3,0,1,2,2,2,2,0,1,1,1,1,1,100,33,0,0,0,0,100,50,0,0,0,0,100,0,0,0,0,0,0,67,100,100,100,100,0,50,100,100,100,100,0,100,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,50,0,0,0,0,0,33,0,100,-75,33,0,100,0,0,0,67,100,0,33,0,100,2,1,1,67,50,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,67,50,100,33,50,0,0.33,0.50,0.00,1.33,1,2.00,33,33,33,0,0,0,0,0,0.14,0.43,0.00,1.61,1.55,1.72,33,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,67,100,0,0
Czech Republic National Team,Czech Republic,2020,Czech Republic,5,2,3,0,2,0,2,1,0,1,2,2,0,1.4,0,2.33,2,0,0,7,6,4,2,10,4,6,1,5,3,1,-2,4,75,180,54,113,60,273,2,0,2,2,1,1,1,1,0,3,0,3,28,13,15,7,3,4,48,50,47,61,25,36,24,8,16,37,17,20,50,18,32,2,0,2,3,3,0,-1,-3,2,2,0,2,1,0,1,2,2,0,1.4,0,2.33,2,2,2,1.2,0.5,1.67,0.8,1.5,0.33,1,1.5,0.67,0.4,0,0.67,0.6,1.5,0,5,4,1,0,0,0,2,1,1,0,0,0,3,3,0,0,0,0,0,1,4,5,5,5,0,1,1,2,2,2,0,0,3,3,3,3,100,80,20,0,0,0,100,50,50,0,0,0,100,100,0,0,0,0,0,20,80,100,100,100,0,50,50,100,100,100,0,0,100,100,100,100,4,1,0,2,1,0,2,0,0,80,20,0,100,50,0,67,0,0,40,0,67,-73,40,0,67,40,50,33,20,50,0,60,0,100,3,0,3,60,0,100,3,2,1,60,100,33,0,0,0,0,0,0,40,0,67,20,0,33,40,100,0,5.60,6.50,5.00,1.4,1.5,1.33,100,100,80,80,60,40,20,20,1.04,0.86,1.16,0.95,0.79,1.06,60,0,0,0,1,2,1,1,1,0,1,1,0,0,2,0,0,0,0,20,0,33,40,100,0,20
Switzerland National Team,Switzerland,2020,Switzerland,5,2,3,0,1,1,0,3,1,2,1,0,1,1.2,2,0.67,3,0,0,12,8,9,-1,17,6,11,4,4,2,7,2,-3,56,45,68,50,90,39,0,0,0,4,2,2,1,0,1,3,1,2,36,17,19,13,5,8,48,39,54,67,32,35,26,14,12,41,18,23,61,27,34,3,2,1,2,1,1,1,1,0,2,1,1,1,0,1,2,1,1,1.4,1.5,1.33,3.4,3,3.67,1.6,2,1.33,1.8,1,2.33,1,1.5,0.67,0.6,1,0.33,0.4,0.5,0.33,5,5,3,2,1,1,2,2,1,1,0,0,3,3,2,1,1,1,0,0,2,3,4,4,0,0,1,1,2,2,0,0,1,2,2,2,100,100,60,40,20,20,100,100,50,50,0,0,100,100,67,33,33,33,0,0,40,60,80,80,0,0,50,50,100,100,0,0,33,67,67,67,4,1,0,2,1,0,2,0,0,80,20,0,100,50,0,67,0,0,20,50,0,35,0,0,0,80,100,67,20,0,33,60,50,67,3,1,2,60,50,67,3,1,2,60,50,67,0,0,0,0,0,0,40,50,33,20,0,33,40,50,33,7.20,8.50,6.33,2.6,2.5,2.67,80,80,80,80,80,80,80,60,1.27,1.40,1.17,1.32,1.36,1.30,120,1,1,1,0,1,0,2,0,2,1,0,1,0,0,3,1,2,1,60,50,67,20,0,33,60
Austria National Team,Austria,2020,Austria,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,2,0,0,11,5,5,0,10,4,6,3,2,1,4,2,-2,72,30,134,72,90,68,1,0,1,2,1,1,1,0,1,2,1,1,21,4,17,6,1,5,54,63,51,50,11,39,16,7,9,34,4,30,53,13,40,2,1,1,2,1,1,0,0,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,2.5,4,2,1.25,3,0.67,1.25,1,1.33,1,2,0.67,0.5,1,0.33,0.5,1,0.33,4,3,2,1,0,0,1,1,1,1,0,0,3,2,1,0,0,0,0,1,2,3,4,4,0,0,0,0,1,1,0,1,2,3,3,3,100,75,50,25,0,0,100,100,100,100,0,0,100,67,33,0,0,0,0,25,50,75,100,100,0,0,0,0,100,100,0,33,67,100,100,100,3,1,0,1,1,0,2,0,0,75,25,0,100,100,0,67,0,0,50,100,33,80,25,0,33,50,100,33,25,0,33,50,100,33,2,0,2,50,0,67,2,0,2,50,0,67,1,1,0,25,100,0,25,0,33,50,100,33,25,0,33,5.25,4.00,5.67,1.5,1,1.67,75,25,25,25,25,25,25,0,0.94,0.65,1.04,0.79,0.00,1.11,25,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,50,0,67,0
FYR Macedonia National Team,FYR Macedonia,2020,FYR Macedonia,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,23,2,8,-6,10,3,7,0,2,3,5,-3,-3,134,0,90,34,30,36,0,0,0,2,0,2,1,1,0,0,0,0,10,5,5,8,4,4,42,41,43,36,14,22,11,2,9,25,12,13,32,8,24,1,0,1,4,1,3,-3,-1,-2,0,0,0,1,0,1,2,1,1,0.33,0,0.5,3.33,3,3.5,0.67,0,1,2.67,3,2.5,1.67,1,2,0.33,0,0.5,1.33,1,1.5,3,3,3,1,0,0,1,1,1,0,0,0,2,2,2,1,0,0,0,0,0,2,3,3,0,0,0,1,1,1,0,0,0,1,2,2,100,100,100,33,0,0,100,100,100,0,0,0,100,100,100,50,0,0,0,0,0,67,100,100,0,0,0,100,100,100,0,0,0,50,100,100,3,2,0,1,0,0,2,2,0,100,67,0,100,0,0,100,100,0,0,0,0,-56,0,0,0,67,0,100,33,100,0,0,0,0,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,3.33,5.00,2.50,2.67,4,2.00,67,67,67,67,33,33,0,0,0.50,0.25,0.63,1.33,1.27,1.36,100,0,0,1,0,0,1,0,0,0,0,1,2,1,0,2,0,1,1,0,0,0,100,100,100,0
Spain National Team,Spain,2020,Spain,6,2,4,0,2,0,2,4,2,2,0,0,0,1.67,1,2,2,0,0,4,13,6,7,19,2,17,1,12,1,5,0,7,41,180,30,90,180,72,2,1,1,4,1,3,1,1,0,3,1,2,47,13,34,6,2,4,73,81,69,92,31,61,37,12,25,55,19,36,72,23,49,5,1,4,1,0,1,4,1,3,3,1,2,3,1,2,0,0,0,2,2,2,3.17,1,4.25,2.17,0.5,3,1,0.5,1.25,1,0.5,1.25,0.83,0.5,1,0.17,0,0.25,5,5,2,2,2,1,1,1,0,0,0,0,4,4,2,2,2,1,1,1,4,4,4,5,1,1,2,2,2,2,0,0,2,2,2,3,83,83,33,33,33,17,50,50,0,0,0,0,100,100,50,50,50,25,17,17,67,67,67,83,50,50,100,100,100,100,0,0,50,50,50,75,4,2,0,1,0,0,3,2,0,67,33,0,50,0,0,75,50,0,33,0,50,-14,33,50,25,67,50,75,17,50,0,50,50,50,5,2,3,83,100,75,2,1,1,33,50,25,1,0,1,17,0,25,50,50,50,50,50,50,0,0,0,7.83,6.50,8.50,1,1,1.00,100,50,33,17,17,17,17,17,1.88,1.80,1.93,0.50,0.18,0.66,50,1,0,2,1,1,2,1,3,0,0,1,0,0,0,2,1,0,2,67,100,50,0,0,0,17
Portugal National Team,Portugal,2020,Portugal,4,2,2,0,1,0,1,1,1,0,2,1,1,1,0.5,1.5,3,0,0,15,7,7,0,14,10,4,4,3,6,1,-2,2,51,45,60,51,30,180,1,0,1,2,2,0,1,0,1,3,2,1,15,6,9,4,0,4,55,46,64,55,19,36,22,9,13,33,10,23,38,14,24,2,2,0,4,3,1,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,3.5,5,2,1.75,2,1.5,1.75,3,0.5,1.5,2.5,0.5,0.5,1,0,1,1.5,0.5,4,3,3,2,1,1,2,2,2,2,1,1,2,1,1,0,0,0,0,1,1,2,3,3,0,0,0,0,1,1,0,1,1,2,2,2,100,75,75,50,25,25,100,100,100,100,50,50,100,50,50,0,0,0,0,25,25,50,75,75,0,0,0,0,50,50,0,50,50,100,100,100,3,2,1,2,2,1,1,0,0,75,50,25,100,100,50,50,0,0,25,0,50,-29,25,0,50,50,100,0,25,0,50,75,100,50,1,0,1,25,0,50,2,0,2,50,0,100,2,2,0,50,100,0,0,0,0,50,50,50,50,50,50,3.75,3.00,4.50,1,0,2.00,25,25,25,0,0,0,0,0,1.23,0.69,1.76,0.67,1.04,0.30,150,0,1,0,1,0,1,1,0,3,0,0,0,2,3,2,0,0,0,25,50,0,50,50,50,0
Sweden National Team,Sweden,2020,Sweden,4,3,1,0,2,2,0,1,0,1,1,1,0,1.75,2,1,1,0,0,8,5,4,1,9,9,0,5,0,4,0,1,0,72,54,0,90,68,0,2,1,1,2,2,0,1,0,1,2,2,0,20,19,1,7,6,1,34,40,15,43,38,5,16,14,2,27,24,3,51,40,11,2,2,0,1,1,0,1,1,0,1,1,0,3,2,1,0,0,0,1.5,1.67,1,2.25,3,0,1.25,1.67,0,1,1.33,0,0.75,1,0,0.5,0.67,0,0.25,0.33,0,3,2,2,1,1,0,3,2,2,1,1,0,0,0,0,0,0,0,1,2,2,3,3,4,0,1,1,2,2,3,1,1,1,1,1,1,75,50,50,25,25,0,100,67,67,33,33,0,0,0,0,0,0,0,25,50,50,75,75,100,0,33,33,67,67,100,100,100,100,100,100,100,2,1,0,2,1,0,0,0,0,50,25,0,67,33,0,0,0,0,50,67,0,1,50,33,100,50,67,0,25,0,100,50,67,0,3,2,1,75,67,100,2,1,1,50,33,100,1,1,0,25,33,0,25,33,0,75,67,100,0,0,0,5.00,6.33,1.00,1.75,2,1.00,100,75,50,50,50,50,50,25,0.68,1.03,0.00,1.21,1.15,1.39,25,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,25,0,100,25,33,0,25
Ukraine National Team,Ukraine,2020,Ukraine,5,3,2,0,2,1,1,0,0,0,3,2,1,1.2,1,1.5,3,0,0,9,6,10,-4,16,8,8,2,4,6,4,-4,0,75,134,45,45,45,45,0,0,0,3,1,2,2,2,0,2,1,1,15,12,3,4,1,3,49,50,47,51,33,18,24,14,10,27,19,8,45,29,16,3,2,1,3,2,1,0,0,0,1,1,0,2,0,2,2,2,0,1,1,1,3.2,2.67,4,1.2,0.67,2,2,2,2,1.2,1.33,1,0.6,0.67,0.5,0.6,0.67,0.5,5,4,4,2,1,0,3,2,2,1,0,0,2,2,2,1,1,0,0,1,1,3,4,5,0,1,1,2,3,3,0,0,0,1,1,2,100,80,80,40,20,0,100,67,67,33,0,0,100,100,100,50,50,0,0,20,20,60,80,100,0,33,33,67,100,100,0,0,0,50,50,100,4,2,0,3,1,0,1,1,0,80,40,0,100,33,0,50,50,0,40,33,50,0,0,0,0,60,33,100,40,67,0,40,33,50,2,1,1,40,33,50,3,2,1,60,67,50,1,0,1,20,0,50,20,33,0,40,0,100,40,67,0,3.00,4.00,1.50,0.8,0.33,1.50,60,60,40,40,20,20,20,0,0.85,0.95,0.72,1.31,1.29,1.33,120,0,0,2,1,0,0,0,2,0,1,0,1,0,3,3,1,0,1,0,0,0,60,67,50,0
Poland National Team,Poland,2020,Poland,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,21,4,6,-2,10,3,7,1,3,2,4,-1,-1,68,90,60,45,45,45,0,0,0,3,1,2,0,0,0,0,0,0,16,5,11,8,2,6,49,57,45,43,18,25,14,4,10,29,14,15,46,15,31,0,0,0,3,1,2,-3,-1,-2,0,0,0,0,0,0,3,1,2,0,0,0,3.33,3,3.5,1.33,1,1.5,2,2,2,1,1,1,0,0,0,1,1,1,3,3,2,1,1,0,1,1,1,0,0,0,2,2,1,1,1,0,0,0,1,2,2,3,0,0,0,1,1,1,0,0,1,1,1,2,100,100,67,33,33,0,100,100,100,0,0,0,100,100,50,50,50,0,0,0,33,67,67,100,0,0,0,100,100,100,0,0,50,50,50,100,3,0,0,1,0,0,2,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,5.33,5.00,5.50,2.67,2,3.00,100,67,33,33,33,33,33,33,1.02,1.01,1.02,0.80,0.14,1.14,33,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,33,0,50,67,100,50,33
